Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
1;1COV@DE;Covestro AG;Акции;Акции иностранного эмитента обыкновенные;;DE0006062144;;1,00;0,01000;EUR;01.03.2021 0:00:00
2;A;Agilent Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00846U1016;;1,00;0,01000;USD;23.11.2016 0:00:00
3;AA;Alcoa Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0138721065;;1,00;0,01000;USD;23.11.2016 0:00:00
4;AAL;American Airlines Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02376R1023;;1,00;0,01000;USD;18.05.2017 0:00:00
5;AAN;The Aaron’s Company, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00258W1080;;1,00;0,01000;USD;10.12.2020 0:00:00
6;AAON;AAON, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0003602069;;1,00;0,01000;USD;13.10.2020 0:00:00
7;AAP;Advance Auto Parts, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00751Y1064;;1,00;0,01000;USD;23.11.2016 0:00:00
8;AAPL;Apple Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0378331005;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
9;ABBV;AbbVie Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00287Y1091;ESVXFR;1,00;0,01000;USD;28.11.2014 0:00:00
10;ABC;AmerisourceBergen Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03073E1055;;1,00;0,01000;USD;18.05.2020 0:00:00
11;ABG;Asbury Automotive Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0434361046;;1,00;0,01000;USD;28.02.2019 0:00:00
12;ABMD;ABIOMED, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0036541003;;1,00;0,01000;USD;04.04.2019 0:00:00
13;ABNB;Airbnb, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0090661010;;1,00;0,01000;USD;10.12.2020 0:00:00
14;ABT;Abbott Laboratories;Акции;Акции иностранного эмитента обыкновенные;;US0028241000;;1,00;0,01000;USD;23.11.2016 0:00:00
15;ACAD;ACADIA Pharmaceuticals Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0042251084;;1,00;0,01000;USD;05.08.2019 0:00:00
16;ACIW;ACI Worldwide, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0044981019;;1,00;0,01000;USD;04.12.2020 0:00:00
17;ACM;AECOM;Акции;Акции иностранного эмитента обыкновенные;;US00766T1007;;1,00;0,01000;USD;31.10.2019 0:00:00
18;ACMR;ACM Research, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00108J1097;;1,00;0,01000;USD;29.07.2020 0:00:00
19;ACN;Accenture plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00B4BNMY34;;1,00;0,01000;USD;06.10.2016 0:00:00
20;ADBE;Adobe Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00724F1012;;1,00;0,01000;USD;23.11.2016 0:00:00
21;ADI;Analog Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0326541051;;1,00;0,01000;USD;23.11.2016 0:00:00
22;ADM;Archer-Daniels-Midland Company;Акции;Акции иностранного эмитента обыкновенные;;US0394831020;;1,00;0,01000;USD;23.11.2016 0:00:00
